query,volume,growth,seed_keyword,growth_rate,volume_score,growth_score,kd_score,score,grade,intent,intent_confidence,secondary_intent,intent_description,recommended_action
ai tools 教程,42,76.0,ai tools,76.0,0,14.049586776859504,50,16,D,I,1.0,,信息型,创建教程、指南或信息图表
ai tools 工具,57,8.0,ai tools,-8.0,0,0.0,50,10,D,I,0.5,,信息型,创建教程、指南或信息图表
top ai tools,512,109.0,ai tools,109.0,0,20.867768595041323,50,18,D,C,1.0,,商业型,创建对比页面或评测内容
top ai tools,416,39.0,ai tools,39.0,0,6.404958677685951,50,13,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools best,583,461.0,ai tools,461.0,0,93.59504132231405,50,47,C,C,1.0,,商业型,创建对比页面或评测内容
top ai tools,737,394.0,ai tools,394.0,0,79.75206611570248,50,42,C,C,1.0,,商业型,创建对比页面或评测内容
free ai tools,814,298.0,ai tools,298.0,0,59.917355371900825,50,34,C,E,1.0,,交易型,优化购买流程，添加促销信息
ai tools online,108,429.0,ai tools,429.0,0,86.98347107438016,50,45,C,I,0.5,,信息型,创建教程、指南或信息图表
how to ai tools,693,392.0,ai tools,392.0,0,79.33884297520662,50,42,C,I,1.0,,信息型,创建教程、指南或信息图表
how to ai tools,881,53.0,ai tools,53.0,0,9.297520661157025,50,14,D,I,1.0,,信息型,创建教程、指南或信息图表
ai tools price,735,441.0,ai tools,441.0,0,89.46280991735537,50,46,C,E,1.0,,交易型,优化购买流程，添加促销信息
top ai tools,996,247.0,ai tools,247.0,0,49.3801652892562,50,30,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools comparison,556,394.0,ai tools,394.0,0,79.75206611570248,50,42,C,C,1.0,,商业型,创建对比页面或评测内容
how to ai tools,970,443.0,ai tools,443.0,0,89.87603305785125,50,46,C,I,1.0,,信息型,创建教程、指南或信息图表
最佳 ai tools,748,125.0,ai tools,125.0,0,24.173553719008265,50,20,D,C,1.0,,商业型,创建对比页面或评测内容
最佳 ai tools,622,11.0,ai tools,11.0,0,0.6198347107438017,50,10,D,C,1.0,,商业型,创建对比页面或评测内容
how to ai tools,952,75.0,ai tools,75.0,0,13.84297520661157,50,16,D,I,1.0,,信息型,创建教程、指南或信息图表
ai tools tips,471,185.0,ai tools,185.0,0,36.570247933884296,50,25,D,I,0.5,,信息型,创建教程、指南或信息图表
ai tools tool,652,400.0,ai tools,400.0,0,80.99173553719008,50,42,C,I,0.5,,信息型,创建教程、指南或信息图表
free ai tools,778,423.0,ai tools,423.0,0,85.74380165289256,50,44,C,E,1.0,,交易型,优化购买流程，添加促销信息
ai tools download,14,46.0,ai tools,-46.0,0,7.851239669421488,50,13,D,N,0.75,E,导航型,优化登录/下载页面，提高加载速度
ai tools review,227,231.0,ai tools,231.0,0,46.074380165289256,50,28,D,C,1.0,,商业型,创建对比页面或评测内容
free ai tools,512,180.0,ai tools,180.0,0,35.53719008264463,50,24,D,E,1.0,,交易型,优化购买流程，添加促销信息
ai tools 教程,776,72.0,ai tools,72.0,0,13.223140495867769,50,15,D,I,1.0,,信息型,创建教程、指南或信息图表
ai tools price,407,16.0,ai tools,16.0,0,1.6528925619834711,50,11,D,E,1.0,,交易型,优化购买流程，添加促销信息
top ai tools,880,136.0,ai tools,136.0,0,26.446280991735538,50,21,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools best,804,469.0,ai tools,469.0,0,95.24793388429752,50,48,C,C,1.0,,商业型,创建对比页面或评测内容
how to ai tools,402,128.0,ai tools,128.0,0,24.793388429752067,50,20,D,I,1.0,,信息型,创建教程、指南或信息图表
最佳 ai tools,216,235.0,ai tools,235.0,0,46.900826446280995,50,29,D,C,1.0,,商业型,创建对比页面或评测内容
how to ai tools,24,337.0,ai tools,337.0,0,67.97520661157024,50,37,C,I,1.0,,信息型,创建教程、指南或信息图表
free ai tools,867,150.0,ai tools,150.0,0,29.33884297520661,50,22,D,E,1.0,,交易型,优化购买流程，添加促销信息
ai tools guide,563,484.0,ai tools,484.0,0,98.34710743801652,50,49,C,I,1.0,,信息型,创建教程、指南或信息图表
how to ai tools,901,479.0,ai tools,479.0,0,97.31404958677686,50,49,C,I,1.0,,信息型,创建教程、指南或信息图表
ai tools 指南,470,88.0,ai tools,88.0,0,16.52892561983471,50,17,D,I,0.5,,信息型,创建教程、指南或信息图表
最佳 ai tools,700,223.0,ai tools,223.0,0,44.421487603305785,50,28,D,C,1.0,,商业型,创建对比页面或评测内容
best ai tools,584,115.0,ai tools,115.0,0,22.107438016528924,50,19,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools 工具,873,107.0,ai tools,107.0,0,20.454545454545453,50,18,D,I,0.5,,信息型,创建教程、指南或信息图表
free ai tools,752,30.0,ai tools,-30.0,0,4.545454545454546,50,12,D,E,1.0,,交易型,优化购买流程，添加促销信息
ai tools cost,250,285.0,ai tools,285.0,0,57.231404958677686,50,33,C,I,0.5,,信息型,创建教程、指南或信息图表
如何 ai tools,573,226.0,ai tools,226.0,0,45.04132231404959,50,28,D,I,1.0,,信息型,创建教程、指南或信息图表
best ai tools,105,22.0,ai tools,-22.0,0,2.8925619834710745,50,11,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools price,909,103.0,ai tools,103.0,0,19.628099173553718,50,18,D,E,1.0,,交易型,优化购买流程，添加促销信息
top ai tools,743,450.0,ai tools,450.0,0,91.32231404958678,50,47,C,C,1.0,,商业型,创建对比页面或评测内容
top ai tools,494,82.0,ai tools,82.0,0,15.289256198347108,50,16,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools free,416,30.0,ai tools,30.0,0,4.545454545454546,50,12,D,E,1.0,,交易型,优化购买流程，添加促销信息
ai tools review,240,219.0,ai tools,219.0,0,43.59504132231405,50,27,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools review,758,492.0,ai tools,492.0,0,100.0,50,50,C,C,1.0,,商业型,创建对比页面或评测内容
ai tools guide,664,83.0,ai tools,83.0,0,15.49586776859504,50,16,D,I,1.0,,信息型,创建教程、指南或信息图表
